Stage,W,N1,N2,N3,REM,RE,PR,F1
W,32715,2254,90,94,1097,90.25,99.12,94.48
N1,175,1427,583,28,865,46.36,27.93,34.86
N2,35,843,6861,936,1228,69.28,86.12,76.79
N3,4,13,130,1318,9,89.42,55.29,68.33
REM,77,572,303,8,2920,75.26,47.72,58.41
